,total_energy_relative_loss,total_energy_relative_loss,total_energy_relative_loss,total_energy_relative_loss,trajectory_length,trajectory_length,trajectory_length,trajectory_length,q1_dominant_frequency,q1_dominant_frequency,q1_dominant_frequency,q1_dominant_frequency,q2_dominant_frequency,q2_dominant_frequency,q2_dominant_frequency,q2_dominant_frequency,q1_decay_rate,q1_decay_rate,q1_decay_rate,q1_decay_rate,q2_decay_rate,q2_decay_rate,q2_decay_rate,q2_decay_rate,q1_velocity_max_abs,q1_velocity_max_abs,q1_velocity_max_abs,q1_velocity_max_abs,q2_velocity_max_abs,q2_velocity_max_abs,q2_velocity_max_abs,q2_velocity_max_abs,q1_acceleration_max_abs,q1_acceleration_max_abs,q1_acceleration_max_abs,q1_acceleration_max_abs,q2_acceleration_max_abs,q2_acceleration_max_abs,q2_acceleration_max_abs,q2_acceleration_max_abs
,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count
weight_mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.43,-0.1630525226863601,,-0.1630525226863601,1,64.51526740183928,,64.51526740183928,1,0.3999999999999551,,0.3999999999999551,1,0.1333333333333183,,0.1333333333333183,1,0.0170600248039158,,0.0170600248039158,1,-0.1305347719539767,,-0.1305347719539767,1,10.12760857524906,,10.12760857524906,1,22.075533557008303,,22.075533557008303,1,92.20856584860574,,92.20856584860574,1,222.1337701573787,,222.1337701573787,1
0.44,-0.1726312989697755,,-0.1726312989697755,1,67.14936986831333,,67.14936986831333,1,0.3999999999999551,,0.3999999999999551,1,0.1333333333333183,,0.1333333333333183,1,0.010829966905068,,0.010829966905068,1,-0.2722492555865829,,-0.2722492555865829,1,10.161339705134097,,10.161339705134097,1,21.983276089625623,,21.983276089625623,1,96.86177109420146,,96.86177109420146,1,221.82672911057296,,221.82672911057296,1
0.45,-0.1783805518016524,,-0.1783805518016524,1,71.64618416075382,,71.64618416075382,1,0.5333333333332735,,0.5333333333332735,1,0.0666666666666591,,0.0666666666666591,1,0.0162136556916607,,0.0162136556916607,1,-0.2475215740943485,,-0.2475215740943485,1,10.19850425614942,,10.19850425614942,1,23.419612171400768,,23.419612171400768,1,103.86756046721965,,103.86756046721965,1,248.04974145851787,,248.04974145851787,1
0.46,-0.1318832215638725,,-0.1318832215638725,1,72.25353314776993,,72.25353314776993,1,0.3999999999999551,,0.3999999999999551,1,0.0666666666666591,,0.0666666666666591,1,0.030418725483691,,0.030418725483691,1,-0.1023145108092866,,-0.1023145108092866,1,10.233953469461015,,10.233953469461015,1,23.09915353222772,,23.09915353222772,1,104.77333168694084,,104.77333168694084,1,244.27555826106024,,244.27555826106024,1
0.47,-0.1356665389247923,,-0.1356665389247923,1,62.49436988615251,,62.49436988615251,1,0.3999999999999551,,0.3999999999999551,1,0.1333333333333183,,0.1333333333333183,1,0.011814176638788,,0.011814176638788,1,-0.1645398431952062,,-0.1645398431952062,1,10.267275879029691,,10.267275879029691,1,21.474747961687378,,21.474747961687378,1,88.57244508209044,,88.57244508209044,1,219.9688445441522,,219.9688445441522,1
0.48,-0.1419687783843857,,-0.1419687783843857,1,62.41693524737305,,62.41693524737305,1,0.3999999999999551,,0.3999999999999551,1,0.0666666666666591,,0.0666666666666591,1,0.0085354117978811,,0.0085354117978811,1,-0.0371923760484914,,-0.0371923760484914,1,10.298595926991483,,10.298595926991483,1,22.49620412107428,,22.49620412107428,1,97.17525278763765,,97.17525278763765,1,232.96409789765443,,232.96409789765443,1
0.49,-0.1598511977211014,,-0.1598511977211014,1,63.67515830429126,,63.67515830429126,1,0.4666666666666142,,0.4666666666666142,1,0.1333333333333183,,0.1333333333333183,1,-0.0056439671407191,,-0.0056439671407191,1,-0.1082791759236426,,-0.1082791759236426,1,10.328029008291509,,10.328029008291509,1,21.6691432469146,,21.6691432469146,1,93.20344601972154,,93.20344601972154,1,224.8152862740445,,224.8152862740445,1
0.5,-0.1105782971243484,,-0.1105782971243484,1,65.19106407598318,,65.19106407598318,1,0.3333333333332959,,0.3333333333332959,1,0.5999999999999327,,0.5999999999999327,1,0.0576665418217804,,0.0576665418217804,1,0.101081332647215,,0.101081332647215,1,10.357357679583927,,10.357357679583927,1,21.795476047330208,,21.795476047330208,1,94.21351070716072,,94.21351070716072,1,227.3581856913916,,227.3581856913916,1
0.51,-0.1180437910640916,,-0.1180437910640916,1,61.6180708866574,,61.6180708866574,1,0.3333333333332959,,0.3333333333332959,1,0.1333333333333183,,0.1333333333333183,1,0.0168672262106259,,0.0168672262106259,1,-0.113454958018888,,-0.113454958018888,1,10.39235360345725,,10.39235360345725,1,22.30811807186821,,22.30811807186821,1,94.98608385340876,,94.98608385340876,1,236.20465184718972,,236.20465184718972,1
0.52,-0.1591093702579027,,-0.1591093702579027,1,62.17676079451387,,62.17676079451387,1,0.3999999999999551,,0.3999999999999551,1,0.1333333333333183,,0.1333333333333183,1,0.0233157249081928,,0.0233157249081928,1,-0.1708954959123059,,-0.1708954959123059,1,10.447000506601889,,10.447000506601889,1,23.754303020381027,,23.754303020381027,1,110.33786562976522,,110.33786562976522,1,261.75700010065646,,261.75700010065646,1
0.53,-0.1427520594987907,,-0.1427520594987907,1,57.9440984392096,,57.9440984392096,1,0.4666666666666142,,0.4666666666666142,1,0.2666666666666367,,0.2666666666666367,1,0.0666191808412811,,0.0666191808412811,1,-0.1049129636190759,,-0.1049129636190759,1,10.485905178499376,,10.485905178499376,1,22.919191307150445,,22.919191307150445,1,100.48927118705026,,100.48927118705026,1,248.9240744854396,,248.9240744854396,1
0.54,-0.1647893773889418,,-0.1647893773889418,1,65.76878205501848,,65.76878205501848,1,0.4666666666666142,,0.4666666666666142,1,0.0666666666666591,,0.0666666666666591,1,0.0395541387098893,,0.0395541387098893,1,-0.213376792644384,,-0.213376792644384,1,10.51914174328566,,10.51914174328566,1,23.03176835055162,,23.03176835055162,1,103.0201981333345,,103.0201981333345,1,252.29957932277992,,252.29957932277992,1
0.55,-0.1621444967989825,,-0.1621444967989825,1,61.93097633923814,,61.93097633923814,1,0.4666666666666142,,0.4666666666666142,1,0.0666666666666591,,0.0666666666666591,1,-4.554914925734117e-05,,-4.554914925734117e-05,1,-0.1889029224860108,,-0.1889029224860108,1,10.549947081851007,,10.549947081851007,1,23.02923506997121,,23.02923506997121,1,103.0870247257784,,103.0870247257784,1,252.81958499732968,,252.81958499732968,1
0.56,-0.140923302102237,,-0.140923302102237,1,63.25036435236812,,63.25036435236812,1,0.3999999999999551,,0.3999999999999551,1,0.0666666666666591,,0.0666666666666591,1,0.0077111707359824,,0.0077111707359824,1,-0.2036466018754863,,-0.2036466018754863,1,10.558136091747324,,10.558136091747324,1,23.488612825704827,,23.488612825704827,1,109.13121697736062,,109.13121697736062,1,260.6520126492478,,260.6520126492478,1
0.5700000000000001,-0.111278723318308,,-0.111278723318308,1,65.25691701606672,,65.25691701606672,1,0.3333333333332959,,0.3333333333332959,1,0.0666666666666591,,0.0666666666666591,1,0.0460478089972314,,0.0460478089972314,1,0.0522285560160187,,0.0522285560160187,1,10.54235936573959,,10.54235936573959,1,22.687395593208024,,22.687395593208024,1,104.12969186003085,,104.12969186003085,1,247.9308534110517,,247.9308534110517,1
0.58,-0.1281212962634058,,-0.1281212962634058,1,62.7736778377469,,62.7736778377469,1,0.3333333333332959,,0.3333333333332959,1,0.1333333333333183,,0.1333333333333183,1,-0.0063091101874079,,-0.0063091101874079,1,-0.019728781670386,,-0.019728781670386,1,10.56097972339747,,10.56097972339747,1,22.84877990144769,,22.84877990144769,1,104.26136855769292,,104.26136855769292,1,249.63559216592364,,249.63559216592364,1
0.59,-0.1176667579331539,,-0.1176667579331539,1,62.511274964985546,,62.511274964985546,1,0.3333333333332959,,0.3333333333332959,1,0.1333333333333183,,0.1333333333333183,1,0.0210616407020563,,0.0210616407020563,1,-0.1200931267456572,,-0.1200931267456572,1,10.5835981189265,,10.5835981189265,1,22.545028141397022,,22.545028141397022,1,102.89104317103524,,102.89104317103524,1,248.5153893778386,,248.5153893778386,1
